,price,total_square,rooms,floor
21533,39700000,90.4,3.0,7.0
21534,39500000,93.5,3.0,13.0
21535,14500000,45.0,1.0,8.0
21536,55000000,142.0,4.0,5.0
21537,15000000,32.0,1.0,4.0
21538,330000000,504.0,9.0,6.0
21539,18542090,55.3,2.0,14.0
21540,55834800,156.4,4.0,6.0
21541,20636540,61.4,3.0,20.0
21542,13000000,61.3,2.0,12.0
21543,19000000,95.0,4.0,9.0
21544,84657440,235.0,4.0,6.0
21546,12900000,36.6,1.0,3.0
21547,12666500,39.0,1.0,15.0
21548,6550000,35.0,1.0,16.0
21549,35644000,76.0,2.0,39.0
21550,16290463,83.6,3.0,10.0
21551,5700000,37.0,1.0,4.0
21552,10490000,50.9,2.0,4.0
21553,8500000,32.9,1.0,1.0
21554,52978000,99.96,3.0,7.0
21555,15398800,56.2,2.0,4.0
21556,11990000,33.7,1.0,7.0
21557,12500000,51.2,2.0,6.0
21558,32497920,65.0,1.0,3.0
21559,11400000,38.0,1.0,14.0
21560,12500000,82.4,3.0,6.0
21561,17000000,42.5,2.0,8.0
21562,8500000,56.0,3.0,1.0
21563,15400000,38.0,1.0,10.0
21564,124988377,133.55,3.0,4.0
21565,39000000,110.3,2.0,5.0
21566,12899000,50.0,2.0,5.0
21567,6500000,51.0,3.0,5.0
21568,11000000,53.5,2.0,1.0
21569,10188375,26.9,1.0,9.0
21570,14220000,58.0,2.0,2.0
21571,18033620,58.5,2.0,7.0
21572,12500000,59.0,2.0,16.0
21573,15641434,74.2,3.0,9.0
21574,14800000,35.0,1.0,12.0
21576,10233888,40.9,2.0,19.0
21577,17000000,37.4,1.0,12.0
21578,11076719,39.0,2.0,16.0
21579,12700000,37.4,1.0,6.0
21580,7162937,24.49,1.0,24.0
21581,24000000,110.0,3.0,9.0
21582,45500000,64.67,2.0,6.0
21583,135000000,206.0,4.0,29.0
21584,11990000,37.4,1.0,1.0
21585,12500000,29.7,1.0,6.0
21586,15500000,58.4,3.0,1.0
21587,23002991,34.8,1.0,14.0
21588,48031928,72.0,2.0,19.0
21589,22841700,44.7,1.0,11.0
21590,16800000,52.0,2.0,3.0
21591,8400000,18.0,1.0,1.0
21592,48000000,156.0,5.0,44.0
21593,39377880,90.9,3.0,11.0
21594,17155320,54.6,2.0,18.0
21595,23451015,64.55,2.0,30.0
21596,7250000,41.6,2.0,6.0
21597,23025936,81.0,4.0,28.0
21598,30900000,97.4,3.0,6.0
21599,24000000,48.0,1.0,9.0
21600,22600000,54.0,2.0,5.0
21601,14500000,48.0,2.0,9.0
21602,15700000,37.8,1.0,2.0
21603,28500000,53.0,1.0,3.0
21604,9200000,33.8,1.0,1.0
21605,8150000,67.5,3.0,3.0
21606,43570000,69.0,3.0,3.0
21607,25500000,65.0,3.0,6.0
21608,14863402,61.6,3.0,16.0
21609,13200000,60.3,3.0,10.0
21610,26500000,87.7,4.0,4.0
21611,6899000,45.4,1.0,18.0
21612,10900000,44.0,2.0,1.0
21613,7450000,38.1,1.0,11.0
21614,24549554,72.7,2.0,21.0
21615,14000000,102.0,4.0,13.0
21616,15950000,40.3,2.0,8.0
21617,43958160,104.0,3.0,10.0
21618,25555760,65.36,2.0,25.0
21619,60000000,109.0,4.0,5.0
21620,12328000,36.8,1.0,18.0
21621,37900000,175.0,6.0,19.0
21622,21000000,44.0,1.0,2.0
21623,14500000,42.0,1.0,11.0
21624,155000000,150.0,3.0,20.0
21625,25000000,97.8,4.0,18.0
21626,10250000,69.4,3.0,8.0
21627,175018805,159.83,3.0,17.0
21628,8900000,58.7,2.0,9.0
21629,9998040,26.0,1.0,38.0
21630,24500000,126.0,6.0,1.0
21631,27500000,73.2,3.0,13.0
21632,19500000,47.0,2.0,7.0
21633,21490000,55.0,1.0,31.0
21634,38595000,124.5,4.0,30.0
21635,29600000,75.0,3.0,5.0
21637,38100000,67.1,2.0,2.0
21638,19431640,81.0,4.0,7.0
21639,299324520,273.4,5.0,7.0
21641,24098250,75.9,3.0,16.0
21642,13184459,40.4,1.0,22.0
21643,7500000,37.7,1.0,17.0
21644,12730000,67.0,3.0,7.0
21645,151174000,123.0,2.0,2.0
21646,17425000,64.6,3.0,11.0
21648,9300000,62.0,2.0,14.0
21649,39359248,93.0,3.0,11.0
21650,14999000,65.1,3.0,9.0
21651,12900000,85.0,3.0,2.0
21652,35000000,119.0,3.0,22.0
21653,79900000,115.0,4.0,25.0
21654,12200000,78.6,2.0,10.0
21655,21999000,152.0,5.0,17.0
21656,17444943,53.1,2.0,7.0
21657,15117890,40.0,1.0,19.0
21658,84500000,96.0,3.0,2.0
21659,19700000,76.4,3.0,4.0
21660,12495000,52.5,2.0,12.0
21661,65000000,180.0,6.0,4.0
21662,28500000,69.0,3.0,6.0
21664,16717739,99.1,3.0,5.0
21665,8600000,44.5,1.0,5.0
21666,16400000,96.0,3.0,12.0
21667,39900000,140.0,4.0,13.0
21668,36000000,115.0,3.0,15.0
21669,7333940,20.0,1.0,11.0
21670,42700000,92.2,3.0,7.0
21671,14670520,71.9,3.0,3.0
21672,11950900,37.7,1.0,16.0
21673,14650000,64.0,2.0,16.0
21674,29000000,100.0,5.0,7.0
21675,11997000,45.0,2.0,7.0
21676,42701250,96.5,4.0,30.0
21677,10700000,38.5,1.0,2.0
21678,13500000,57.0,2.0,2.0
21679,91050826,87.6,2.0,4.0
21680,31780236,138.0,5.0,2.0
21681,13413000,85.0,3.0,14.0
21682,21500000,90.0,2.0,11.0
21683,12300000,67.0,2.0,19.0
21684,23500000,83.9,4.0,3.0
21685,32300000,105.0,3.0,5.0
21687,6950000,32.8,1.0,6.0
21688,9500000,64.0,3.0,1.0
21689,6500000,43.9,2.0,4.0
21690,15644318,74.0,3.0,8.0
21691,12500000,41.0,2.0,4.0
21692,11699000,44.4,2.0,9.0
21693,16400000,58.7,2.0,15.0
21694,17401780,104.83,3.0,17.0
21696,23675777,57.0,1.0,16.0
21697,20386200,56.0,2.0,29.0
21698,13200000,58.8,3.0,3.0
21699,21647212,67.0,2.0,11.0
21700,11500000,38.0,1.0,11.0
21701,11000000,41.9,1.0,22.0
21702,13600000,43.0,1.0,24.0
21703,7550000,40.0,1.0,14.0
21704,12429200,38.6,1.0,15.0
21705,24078558,58.9,2.0,7.0
21706,11500000,40.0,1.0,9.0
21707,55900000,83.0,2.0,7.0
21708,31336900,62.3,2.0,23.0
21709,15200000,64.0,3.0,13.0
21710,18900000,42.9,2.0,2.0
21711,30000000,85.0,2.0,10.0
21712,9500000,34.0,1.0,9.0
21713,15409926,76.2,3.0,8.0
21714,11500000,66.1,2.0,1.0
21715,12500000,58.0,2.0,14.0
21716,14950000,75.0,3.0,1.0
21717,11989738,58.0,2.0,6.0
21719,114000000,165.7,4.0,2.0
21720,4100000,17.9,1.0,1.0
21721,14559648,67.11,2.0,32.0
21722,12500000,74.0,3.0,15.0
21723,41770000,89.0,3.0,14.0
21724,49799960,101.0,3.0,3.0
21725,12000000,50.0,2.0,22.0
21726,14490000,71.0,3.0,13.0
21727,20000000,53.5,1.0,9.0
21728,14031522,33.0,1.0,28.0
21729,27950000,51.2,1.0,4.0
21730,10397767,34.0,1.0,23.0
21731,10900000,63.2,1.0,15.0
21732,16506987,38.09,1.0,8.0
21733,43939280,112.09,3.0,2.0
21734,7700000,36.3,1.0,8.0
21735,8150000,54.5,2.0,10.0
21736,52800000,109.4,4.0,17.0
21737,12027470,35.0,1.0,10.0
21738,12900000,33.0,1.0,10.0
21739,12447705,62.7,3.0,14.0
21740,7200000,44.0,1.0,4.0
21741,16500000,73.0,3.0,16.0
21742,8150000,40.3,1.0,13.0
21743,9500000,60.0,2.0,8.0
21744,29138600,46.0,1.0,22.0
21745,13500000,32.6,1.0,5.0
21746,12000000,65.0,3.0,1.0
21747,26999999,54.0,2.0,7.0
21748,8790616,24.0,1.0,14.0
21749,67000000,100.0,3.0,46.0
21750,17000000,66.1,2.0,5.0
21751,14900000,35.9,1.0,9.0
21752,22560000,55.9,1.0,20.0
21753,11800000,51.9,2.0,3.0
21755,26338832,79.88,3.0,23.0
21756,12955470,36.3,1.0,2.0
21757,12409804,38.0,2.0,28.0
21758,7795960,28.7,1.0,13.0
21759,13500000,42.7,2.0,2.0
21761,9000000,40.0,2.0,2.0
21762,8350000,60.0,3.0,2.0
21763,18020000,81.4,3.0,5.0
21764,15082880,49.9,2.0,4.0
21765,15750000,39.3,1.0,2.0
21766,19000000,90.0,2.0,5.0
21767,10500000,51.4,2.0,1.0
21768,14500000,52.7,2.0,5.0
21769,9200000,32.0,1.0,1.0
21771,20990000,54.8,2.0,3.0
21772,9149000,76.2,3.0,9.0
21773,17600000,63.0,2.0,16.0
21774,10200000,44.0,2.0,7.0
21775,48422400,116.4,3.0,28.0
21776,12010000,58.8,3.0,2.0
21777,15250000,64.3,3.0,6.0
21778,11452600,33.1,1.0,16.0
21779,14706000,46.0,2.0,4.0
21780,25000000,61.1,2.0,22.0
21781,6600000,54.0,2.0,1.0
21782,34050000,68.71,3.0,2.0
21783,7200000,43.5,2.0,7.0
21784,8200000,34.0,1.0,2.0
21785,125414311,258.0,6.0,5.0
21786,18950000,83.7,3.0,2.0
21787,130000000,141.9,3.0,5.0
21788,15498014,74.0,3.0,7.0
21791,13000000,51.9,2.0,16.0
21793,9568080,27.0,1.0,2.0
21794,20500000,36.8,2.0,12.0
21795,10898825,40.2,1.0,2.0
21796,5300000,31.5,1.0,1.0
21797,12815227,50.0,2.0,2.0
21798,18920000,58.4,2.0,8.0
21799,25046091,54.2,2.0,18.0
21800,16984136,47.0,1.0,5.0
21801,23000000,53.1,2.0,7.0
21802,38800000,69.3,3.0,4.0
21803,12400000,29.0,1.0,5.0
21804,10928000,68.3,2.0,2.0
21805,9500000,35.2,1.0,9.0
21806,21041749,66.42,2.0,2.0
21807,13950000,53.0,2.0,13.0
21808,19000000,40.3,1.0,27.0
21810,20500000,41.0,2.0,4.0
21811,11450000,32.5,1.0,4.0
21812,14400200,50.0,5.0,1.0
21813,21666666,66.5,3.0,6.0
21814,51160480,95.2,3.0,5.0
21815,8950000,38.1,1.0,1.0
21816,10450800,23.4,1.0,23.0
21817,14799000,56.0,3.0,5.0
21818,29900000,82.0,3.0,8.0
21819,41139999,91.99,3.0,4.0
21820,16991000,45.0,1.0,4.0
21821,44999999,73.0,3.0,12.0
21822,13604394,72.4,3.0,28.0
21823,46400000,94.4,2.0,6.0
21824,21510000,36.54,1.0,20.0
21825,18200000,55.2,2.0,2.0
21826,13200000,67.4,2.0,5.0
21827,20000000,84.8,4.0,1.0
21828,19200000,69.0,2.0,4.0
21829,19106727,107.1,4.0,7.0
21830,49000000,101.4,4.0,8.0
21831,9000000,39.2,1.0,2.0
21832,14710553,53.0,3.0,13.0
21833,48990000,112.0,3.0,19.0
21834,34900000,103.7,3.0,8.0
21835,17530488,70.0,3.0,6.0
21836,13500000,58.0,3.0,3.0
21837,13179000,38.2,1.0,20.0
21838,14908050,72.9,3.0,7.0
21839,9500000,32.0,1.0,1.0
21840,13371332,36.1,1.0,4.0
21841,11500000,50.8,2.0,8.0
21842,23800000,106.6,4.0,9.0
21843,9690000,37.7,1.0,12.0
21844,51900000,117.0,4.0,14.0
21845,20270588,70.13,2.0,3.0
21846,6650000,35.5,1.0,12.0
21847,6900000,45.2,1.0,5.0
21848,24616344,83.0,3.0,19.0
21849,14200000,84.4,3.0,7.0
21850,11000000,45.2,2.0,5.0
21851,14390640,46.0,2.0,12.0
21852,11350000,41.0,2.0,3.0
21853,28200000,90.0,3.0,4.0
21854,7700000,36.1,1.0,2.0
21855,8991754,35.1,1.0,4.0
21856,7794476,60.4,3.0,8.0
21857,85000000,150.0,4.0,3.0
21858,8200000,48.1,2.0,7.0
21859,52000000,89.0,3.0,13.0
21860,37284088,77.5,2.0,12.0
21861,15500000,83.9,3.0,21.0
21862,38200000,89.0,3.0,15.0
21863,17900000,82.8,3.0,5.0
21864,15692071,75.5,4.0,3.0
21865,18750000,56.3,2.0,3.0
21866,17500000,36.3,2.0,2.0
21867,11500000,61.3,2.0,5.0
21868,14750571,60.79,2.0,16.0
21870,6200000,37.4,1.0,14.0
21872,20193848,63.0,2.0,23.0
21873,125000000,181.0,6.0,4.0
21874,12980000,46.3,2.0,3.0
21875,13590000,44.0,2.0,3.0
21876,26998600,105.0,3.0,9.0
21877,11400000,62.2,3.0,4.0
21878,10663360,41.6,2.0,10.0
21879,13000000,58.4,3.0,1.0
21880,31500000,102.0,3.0,15.0
21881,6300000,39.0,1.0,1.0
21882,54789350,117.7,4.0,16.0
21883,34500000,102.0,3.0,13.0
21884,16051437,69.7,3.0,13.0
21885,11889138,38.0,1.0,8.0
21886,19798084,41.0,1.0,33.0
21887,16342834,74.0,3.0,15.0
21888,13000000,72.2,2.0,6.0
21889,61798000,116.6,3.0,4.0
21890,21857183,98.6,4.0,12.0
21891,24700000,45.8,2.0,10.0
21892,11000000,42.3,2.0,4.0
21893,27200000,100.1,3.0,16.0
21894,11300000,61.0,3.0,7.0
21895,9500000,32.0,1.0,2.0
21896,10400000,33.0,1.0,9.0
21897,24163399,38.5,1.0,4.0
21898,133033120,260.0,6.0,8.0
21899,7402812,25.64,1.0,22.0
21900,14500000,37.1,1.0,1.0
21901,22550000,80.9,3.0,21.0
21902,15536222,73.21,4.0,8.0
21903,42000000,109.0,3.0,6.0
21904,25000000,90.0,2.0,19.0
21905,31090000,59.63,2.0,19.0
21906,49900000,142.0,4.0,7.0
21907,157220960,300.0,6.0,5.0
21908,20000000,74.8,3.0,12.0
21909,12648640,34.0,1.0,18.0
21910,12000000,40.1,1.0,8.0
21911,20440200,65.2,2.0,12.0
21912,60000000,104.2,3.0,8.0
21913,23694532,99.5,2.0,3.0
21914,32456400,65.0,2.0,6.0
21915,18470000,43.2,1.0,8.0
21916,8741040,24.0,1.0,3.0
21917,18500000,59.0,2.0,13.0
21918,23800000,70.0,2.0,7.0
21919,5850000,37.0,1.0,12.0
21920,33950000,67.2,3.0,1.0
21921,7500000,50.0,1.0,12.0
21923,14450000,58.2,2.0,13.0
21924,18896940,55.4,2.0,47.0
21925,40955840,104.8,3.0,17.0
21926,15000000,39.5,1.0,5.0
21927,24000000,67.7,2.0,8.0
21928,34791916,100.8,4.0,40.0
21929,7200000,42.8,2.0,3.0
21930,13850000,64.5,3.0,10.0
21931,19500000,75.5,3.0,2.0
21932,14000000,47.6,2.0,9.0
21933,9700000,40.0,1.0,6.0
21934,21300000,59.0,2.0,3.0
21935,42750000,120.1,3.0,4.0
21936,48378525,72.5,3.0,18.0
21937,24000000,58.0,2.0,4.0
21938,7207449,59.0,2.0,25.0
21939,24388492,41.0,1.0,2.0
21940,7800000,32.8,1.0,2.0
21941,10420000,65.0,3.0,4.0
21942,15584379,55.93,2.0,19.0
21943,8900000,38.3,2.0,14.0
21944,10450000,60.2,2.0,5.0
21945,17074800,53.0,2.0,25.0
21946,36500000,77.7,3.0,11.0
21947,35826120,82.0,2.0,33.0
21948,9600000,36.2,1.0,7.0
21949,8256120,25.72,1.0,7.0
21950,26000000,69.1,2.0,8.0
21951,14611300,71.8,3.0,9.0
21952,7800000,62.0,2.0,2.0
21953,62000000,201.0,4.0,23.0
21954,33500000,71.4,3.0,6.0
21955,8900000,34.7,1.0,2.0
21956,6200000,45.0,1.0,3.0
21957,14300000,59.1,3.0,4.0
21958,13832180,68.4,3.0,2.0
21959,43500000,63.0,3.0,2.0
21960,36830226,76.3,2.0,9.0
21961,230000000,230.0,6.0,17.0
21962,26138669,78.8,3.0,30.0
21963,7509892,22.2,1.0,8.0
21964,24900000,45.2,2.0,3.0
21965,6950000,38.44,1.0,3.0
21966,11915827,64.0,2.0,8.0
21967,7276087,20.4,1.0,12.0
21968,15500000,53.4,2.0,11.0
21969,19300000,68.3,3.0,5.0
21970,12500000,56.0,2.0,5.0
21971,16143820,104.83,3.0,8.0
21972,9300000,40.0,1.0,10.0
21973,10990000,60.7,2.0,11.0
21974,12000000,63.2,2.0,2.0
21975,17999000,70.0,2.0,2.0
21976,11250000,62.0,3.0,12.0
21977,13950000,44.3,2.0,9.0
21978,75000000,117.0,3.0,3.0
21979,17950000,38.0,2.0,3.0
21980,40000000,78.8,3.0,5.0
21981,12750000,66.1,2.0,15.0
21982,9495000,55.1,3.0,3.0
21983,15930744,58.0,2.0,2.0
21984,13800000,75.9,3.0,3.0
21985,7734313,24.0,1.0,10.0
21987,16230853,72.0,4.0,10.0
21988,35890000,72.0,2.0,5.0
21989,5800000,31.5,1.0,2.0
21990,6472147,43.5,2.0,5.0
21991,16500000,46.6,2.0,12.0
21992,13150000,40.0,1.0,25.0
21993,32500000,106.8,3.0,10.0
21994,38327016,75.21,3.0,6.0
21995,12500000,43.0,2.0,24.0
21997,6099000,31.3,1.0,13.0
21998,16605943,72.6,3.0,23.0
21999,13299000,56.0,1.0,8.0
22001,14400000,65.0,2.0,14.0
22002,9128305,37.6,1.0,7.0
22003,50000000,118.4,5.0,9.0
22004,7755235,30.5,1.0,5.0
22005,17741604,51.0,2.0,14.0
22006,27200000,68.1,3.0,5.0
22007,16350176,59.8,2.0,6.0
22008,35600000,71.2,2.0,12.0
22009,9500000,36.0,1.0,11.0
22010,12700885,38.29,2.0,19.0
22011,8200000,31.5,1.0,5.0
22012,11300000,45.0,2.0,2.0
22013,99999999,167.4,5.0,19.0
22014,15304850,73.54,2.0,20.0
22015,11100000,31.0,1.0,5.0
22016,18500000,50.2,2.0,8.0
22017,139000000,247.0,6.0,6.0
22018,47900000,85.3,2.0,7.0
22019,38568420,53.7,1.0,10.0
22020,9785000,26.78,1.0,19.0
22022,14000000,64.0,4.0,4.0
22023,12800000,63.5,4.0,3.0
22024,108999999,118.5,3.0,6.0
22025,45000000,121.0,4.0,9.0
22026,13362785,37.96,2.0,19.0
22027,13309643,33.0,1.0,26.0
22028,10192152,42.4,1.0,21.0
22029,39645870,97.41,3.0,10.0
22030,11300000,43.9,2.0,6.0
22031,12400000,45.0,2.0,1.0
22032,14900000,32.0,1.0,1.0
22033,12999000,66.0,3.0,7.0
22034,32572800,113.1,3.0,11.0
22035,23618925,67.5,3.0,3.0
22036,10500000,37.2,1.0,15.0
22037,18150000,54.0,3.0,7.0
22038,45334548,103.3,3.0,13.0
22039,8838024,23.0,1.0,13.0
22040,21920000,46.18,2.0,4.0
22041,18498697,61.1,2.0,20.0
22042,29500000,66.0,2.0,6.0
22043,24794000,56.0,2.0,11.0
22044,25300000,81.3,2.0,4.0
22045,7300000,41.7,1.0,4.0
22046,31132640,79.42,2.0,5.0
22047,20484839,97.6,3.0,13.0
22048,6550000,39.8,1.0,3.0
22049,12800000,60.0,3.0,1.0
22050,14967023,58.74,3.0,1.0
22052,26900000,65.4,2.0,13.0
22053,9700000,60.2,2.0,11.0
22054,12150000,47.3,2.0,5.0
22055,8450000,38.5,1.0,10.0
22056,16033447,44.56,1.0,5.0
22057,5190000,32.0,1.0,21.0
22058,7699999,52.5,2.0,2.0
22059,13499999,37.3,1.0,5.0
22060,54900000,99.5,3.0,5.0
22061,22580000,60.0,2.0,18.0
22062,17159705,38.87,1.0,24.0
22063,153950764,288.3,6.0,31.0
22064,9600000,65.0,2.0,15.0
22065,11000000,37.1,1.0,9.0
22066,18400000,45.0,1.0,4.0
22067,14500000,67.7,2.0,22.0
22068,28282794,46.0,1.0,20.0
22069,17000000,62.2,2.0,17.0
22070,9490000,56.0,3.0,4.0
22071,38000000,48.0,2.0,35.0
22072,7500000,39.0,1.0,11.0
22074,10700000,44.4,2.0,12.0
22075,11245950,60.3,2.0,12.0
22076,33500000,105.8,3.0,3.0
22077,11500000,38.7,2.0,3.0
22078,7870000,34.0,1.0,5.0
22079,16955802,46.36,1.0,11.0
22080,7930986,53.8,2.0,4.0
22081,16383826,38.0,1.0,7.0
22082,27777768,73.0,2.0,2.0
22083,95589408,84.0,3.0,25.0
22084,23800000,76.5,3.0,2.0
22085,9200000,60.0,2.0,12.0
22086,17393674,48.8,1.0,6.0
22087,8100000,45.0,1.0,14.0
22088,8500000,44.0,1.0,19.0
22089,14512800,40.0,1.0,45.0
22090,35999000,63.1,2.0,40.0
22091,9850000,73.0,3.0,5.0
22092,6900000,37.4,2.0,5.0
22093,6025853,29.3,1.0,13.0
22094,22900000,57.0,2.0,6.0
22095,7650000,39.1,1.0,6.0
22096,18000000,67.3,3.0,13.0
22097,11000000,42.7,2.0,5.0
22098,21400000,80.8,3.0,9.0
22099,6150000,30.4,1.0,5.0
22100,16000000,75.0,3.0,5.0
22101,13700000,63.0,3.0,11.0
22102,153218520,139.0,3.0,8.0
22103,9292848,38.3,1.0,15.0
22104,27500000,53.0,2.0,6.0
22105,12150000,53.4,2.0,14.0
22106,5350000,32.0,1.0,4.0
22107,8906069,29.0,1.0,9.0
22108,19432160,36.0,1.0,5.0
22109,18700000,72.5,2.0,21.0
22110,68838408,99.42,3.0,11.0
22111,10750000,43.0,1.0,14.0
22112,31000000,134.0,4.0,4.0
22113,11600000,92.1,3.0,3.0
22114,26683670,90.0,3.0,4.0
22115,44563284,74.1,2.0,30.0
22116,62000000,110.0,4.0,4.0
22117,9000000,36.5,1.0,2.0
22118,14000000,54.0,2.0,13.0
22119,37730000,79.3,3.0,11.0
22120,14500000,73.2,3.0,10.0
22121,14673250,49.4,2.0,13.0
22122,9670505,53.3,2.0,9.0
22123,30000000,56.4,2.0,13.0
22124,12142200,35.4,1.0,15.0
22125,33000000,62.7,1.0,5.0
22126,7333540,26.1,1.0,14.0
22127,15000000,38.2,1.0,11.0
22128,50530440,117.24,4.0,12.0
22129,36841240,76.0,2.0,16.0
22130,19523752,71.2,3.0,7.0
22131,14300000,40.0,2.0,2.0
22132,12150000,44.8,2.0,3.0
22134,44913108,122.7,4.0,8.0
22135,19500000,56.6,2.0,13.0
22136,19868467,59.2,2.0,9.0
22137,10400000,43.0,2.0,7.0
22138,21099000,82.0,3.0,11.0
22139,13500000,63.0,3.0,2.0
22140,20505880,71.3,3.0,2.0
22141,50909869,105.5,3.0,4.0
22142,8999000,55.0,1.0,4.0
22143,9549000,56.5,2.0,9.0
22144,211643600,262.0,3.0,26.0
22145,26622000,52.2,1.0,7.0
22146,23000000,64.3,2.0,1.0
22147,4900000,30.3,1.0,5.0
22148,20213308,82.0,3.0,12.0
22149,26144552,74.3,3.0,30.0
22150,28274700,61.4,2.0,3.0
22151,5400000,32.0,1.0,5.0
22152,6900000,42.5,2.0,3.0
22153,7301019,25.94,1.0,15.0
22154,8500000,34.8,1.0,5.0
22155,46500000,78.8,2.0,11.0
22156,15815636,70.2,4.0,11.0
22157,12200000,40.4,1.0,9.0
22158,13825093,40.1,1.0,24.0
22159,16629140,57.7,2.0,2.0
22160,7090000,45.0,2.0,3.0
22161,9701625,61.5,3.0,21.0
22162,12350243,58.0,2.0,8.0
22163,14200000,80.0,3.0,7.0
22165,7205767,20.0,1.0,22.0
22166,29000000,46.0,1.0,20.0
22167,44740710,90.4,4.0,12.0
22168,8200000,55.5,1.0,10.0
22169,8365127,23.0,1.0,12.0
22170,7900000,41.0,1.0,10.0
22171,11588200,26.0,1.0,27.0
22172,18500000,78.0,3.0,2.0
22173,25470265,83.2,3.0,3.0
22174,14250000,37.5,1.0,8.0
22175,5500000,31.6,1.0,2.0
22176,15300000,97.6,3.0,9.0
22177,13300000,53.8,2.0,15.0
22178,9800000,44.0,1.0,6.0
22179,30990000,70.0,3.0,20.0
22180,9200000,48.0,1.0,1.0
22181,23350000,42.1,2.0,5.0
22182,110000000,170.0,4.0,18.0
22183,19500000,82.5,3.0,4.0
22184,9100000,70.0,2.0,13.0
22185,34867440,71.1,2.0,2.0
22186,5350000,29.6,1.0,7.0
22187,5800000,31.8,1.0,15.0
22188,16134800,41.8,1.0,25.0
22189,20500000,72.6,2.0,2.0
22190,9410128,28.0,1.0,4.0
22191,12900000,62.9,2.0,13.0
22192,16803830,62.0,4.0,12.0
22193,13000000,37.2,1.0,2.0
22194,12800000,50.0,2.0,2.0
22195,40000000,92.0,4.0,8.0
22196,16731206,64.0,2.0,2.0
22197,42000000,67.0,3.0,6.0
22198,15353283,59.0,2.0,3.0
22199,15700317,80.8,4.0,4.0
22200,11600000,45.7,2.0,1.0
22201,13950000,62.1,4.0,10.0
22202,5400000,45.0,2.0,1.0
22203,51649492,100.2,3.0,5.0
22204,22000000,67.0,3.0,3.0
22205,30222665,62.0,2.0,2.0
22206,16890000,107.0,4.0,13.0
22207,6000000,34.0,1.0,2.0
22208,24800000,73.3,2.0,18.0
22209,9011700,27.9,1.0,16.0
22210,18253208,40.4,1.0,15.0
22211,75000000,94.3,3.0,2.0
22212,11441950,60.7,2.0,8.0
22213,10500000,49.5,2.0,6.0
22214,12500000,42.0,1.0,9.0
22215,29900000,60.0,2.0,22.0
22216,8700000,38.7,1.0,9.0
22217,47943278,78.9,2.0,39.0
22218,20820000,39.0,1.0,9.0
22219,11846400,61.7,2.0,5.0
22220,10300000,40.0,2.0,11.0
22221,22500000,56.0,2.0,2.0
22222,15680877,66.7,3.0,19.0
22223,20880000,36.0,1.0,18.0
22224,14900000,85.5,3.0,2.0
22225,8950000,33.5,1.0,4.0
22226,22210620,94.0,3.0,3.0
22227,9500000,66.6,2.0,19.0
22228,13300000,51.0,2.0,8.0
22229,14294016,66.0,2.0,21.0
22230,10800000,59.8,1.0,4.0
22231,9800000,62.0,2.0,4.0
22232,18000000,75.0,3.0,6.0
22233,11800000,30.0,1.0,6.0
22234,35000000,100.5,4.0,3.0
22235,8950000,40.9,2.0,2.0
22236,26000000,120.0,4.0,11.0
22237,27760704,76.4,2.0,2.0
22238,5928600,41.1,1.0,1.0
22239,13490000,87.0,3.0,12.0
22240,13500000,62.0,3.0,3.0
22241,12946500,68.5,2.0,12.0
22242,23970000,80.3,3.0,29.0
22243,21300000,74.0,3.0,7.0
22244,12300000,35.0,2.0,12.0
22245,5886958,42.25,2.0,2.0
22246,13100000,52.0,2.0,13.0
22247,11390000,58.2,2.0,18.0
22248,15579711,54.0,2.0,9.0
22249,15426928,79.6,4.0,2.0
22250,9817472,25.6,1.0,5.0
22251,10700000,59.0,2.0,10.0
22252,8089263,37.8,1.0,20.0
22253,25971147,65.16,2.0,28.0
22254,10699077,34.0,1.0,9.0
22255,19900000,75.8,3.0,14.0
22256,10950000,55.0,2.0,8.0
22257,7709692,24.0,1.0,10.0
22258,20830000,44.57,1.0,7.0
22259,26219745,41.9,1.0,10.0
22260,7350000,34.0,2.0,1.0
22261,69000000,135.0,3.0,10.0
22262,16285533,32.0,1.0,2.0
22263,14800000,63.5,2.0,12.0
22264,14306685,58.9,2.0,3.0
22265,35700000,124.0,4.0,7.0
22266,16500000,56.0,2.0,22.0
22267,9500000,60.3,2.0,3.0
22268,18500000,85.0,3.0,15.0
22269,34700000,87.0,4.0,2.0
22270,8500000,57.0,2.0,6.0
22271,7283309,33.41,1.0,8.0
22272,103000000,116.78,3.0,7.0
22273,33582246,64.1,2.0,22.0
22274,10300000,41.9,1.0,10.0
22275,13000000,51.9,2.0,7.0
22276,11673670,58.0,2.0,4.0
22277,12400000,49.35,2.0,15.0
22278,22000000,56.0,2.0,10.0
22279,13900000,70.0,2.0,5.0
22280,73900000,130.3,4.0,9.0
22281,16964582,82.7,4.0,8.0
22282,24003976,65.0,2.0,33.0
22283,24815280,74.0,3.0,8.0
22284,60750000,123.11,4.0,11.0
22285,16900000,74.9,3.0,1.0
22286,10700000,44.0,2.0,5.0
22287,5900000,30.7,1.0,1.0
22288,8400000,45.0,2.0,4.0
22289,24990000,117.0,5.0,3.0
22290,63900000,82.0,3.0,5.0
22291,12100000,87.0,3.0,14.0
22292,13000000,56.5,3.0,6.0
22293,45485000,82.7,2.0,4.0
22294,8181465,26.0,1.0,4.0
22295,19888229,47.7,1.0,33.0
